,Unnamed: 0,idx,Image1,ValenceMean1,ArousalMean1,ValCat1,Image2,ValenceMean2,ArousalMean2,ValCat2,Valence_Diff,Arousal_Diff,ValenceContrast,ABSArousal_Diff,ABSValence_Diff,Bin,Img1Dir,Img2Dir,Block
87,87,87,Bungee jumping 1.jpg,5.271604938,5.743589744,Neu,Neutral face 3.jpg,5.673267327,3.161812298,Neu,-0.401662389,2.581777446,NeuNeu,2.581777446,0.401662389,3,IAPS/Bungee jumping 1.jpg,IAPS/Neutral face 3.jpg,3
147,147,147,2200.jpg,4.79,3.18,Neu,6200.jpg,2.71,6.21,Neg,2.08,-3.03,NeuNeg,3.03,2.08,4,IAPS/2200.jpg,IAPS/6200.jpg,3
26,26,26,2165.jpg,7.63,4.55,Pos,2301.jpg,2.78,4.57,Neg,4.85,-0.02,PosNeg,0.02,4.85,1,IAPS/2165.jpg,IAPS/2301.jpg,3
238,238,238,5731.jpg,5.39,2.74,Neu,6510.jpg,2.46,6.96,Neg,2.93,-4.22,NeuNeg,4.22,2.93,6,IAPS/5731.jpg,IAPS/6510.jpg,3
115,115,115,Pigeon 4.jpg,6.491749175,3.951456311,Pos,Shooting 1.jpg,4.124183007,5.567656766,Neu,2.367566168,-1.616200455,PosNeu,1.616200455,2.367566168,3,IAPS/Pigeon 4.jpg,IAPS/Shooting 1.jpg,3
9,9,9,8280.jpg,6.38,5.05,Pos,Frustrated pose 6.jpg,5.910891089,5.051779935,Neu,0.469108911,-0.001779935,PosNeu,0.001779935,0.469108911,1,IAPS/8280.jpg,IAPS/Frustrated pose 6.jpg,3
67,67,67,2635.jpg,5.22,4.42,Neu,8502.jpg,7.51,5.78,Pos,-2.29,-1.36,NeuPos,1.36,2.29,2,IAPS/2635.jpg,IAPS/8502.jpg,3
213,213,213,1050.jpg,3.46,6.87,Neg,Rocks 6.jpg,5.274509804,2.135313531,Neu,-1.814509804,4.734686469,NegNeu,4.734686469,1.814509804,6,IAPS/1050.jpg,IAPS/Rocks 6.jpg,3
201,201,201,8492.jpg,7.21,7.31,Pos,Wall 1.jpg,5.104575163,2.069306931,Neu,2.105424837,5.240693069,PosNeu,5.240693069,2.105424837,6,IAPS/8492.jpg,IAPS/Wall 1.jpg,4
108,108,108,7354.jpg,5.51,3.73,Neu,9930.jpg,3.12,5.71,Neg,2.39,-1.98,NeuNeg,1.98,2.39,3,IAPS/7354.jpg,IAPS/9930.jpg,4
8,8,8,Dancing 7.jpg,7.49382716,4.166666667,Pos,Road 1.jpg,6.411764706,4.168316832,Pos,1.082062454,-0.001650165,PosPos,0.001650165,1.082062454,1,IAPS/Dancing 7.jpg,IAPS/Road 1.jpg,4
153,153,153,1051.jpg,3.8,5.95,Neu,2890.jpg,4.95,2.95,Neu,-1.15,3,NeuNeu,3,1.15,4,IAPS/1051.jpg,IAPS/2890.jpg,4
99,99,99,2395.jpg,7.49,4.19,Pos,3030.jpg,1.91,6.76,Neg,5.58,-2.57,PosNeg,2.57,5.58,3,IAPS/2395.jpg,IAPS/3030.jpg,4
56,56,56,Doctor 5.jpg,4.577557756,4.521035599,Neu,Dog 5.jpg,7.587458746,5.893203883,Pos,-3.00990099,-1.372168284,NeuPos,1.372168284,3.00990099,2,IAPS/Doctor 5.jpg,IAPS/Dog 5.jpg,4
146,146,146,2493.jpg,4.82,3.34,Neu,Dog 6.jpg,8.320261438,6.372937294,Pos,-3.500261438,-3.032937294,NeuPos,3.032937294,3.500261438,4,IAPS/2493.jpg,IAPS/Dog 6.jpg,4
163,163,163,2580.jpg,5.71,2.79,Neu,3400.jpg,2.35,6.91,Neg,3.36,-4.12,NeuNeg,4.12,3.36,5,IAPS/2580.jpg,IAPS/3400.jpg,4
103,103,103,Alcohol 4.jpg,6.024691358,3.487179487,Neu,Fire 2.jpg,2.283950617,5.91025641,Neg,3.740740741,-2.423076923,NeuNeg,2.423076923,3.740740741,3,IAPS/Alcohol 4.jpg,IAPS/Fire 2.jpg,4
224,224,224,8490.jpg,7.2,6.68,Pos,Dirt 4.jpg,5,2.214521452,Neu,2.2,4.465478548,PosNeu,4.465478548,2.2,6,IAPS/8490.jpg,IAPS/Dirt 4.jpg,4
175,175,175,7405.jpg,7.38,6.28,Pos,Rocks 4.jpg,5.692810458,2.570957096,Neu,1.687189542,3.709042904,PosNeu,3.709042904,1.687189542,5,IAPS/7405.jpg,IAPS/Rocks 4.jpg,4
107,107,107,8380.jpg,7.56,5.74,Pos,Neutral pose 1.jpg,6.411764706,3.693069307,Pos,1.148235294,2.046930693,PosPos,2.046930693,1.148235294,3,IAPS/8380.jpg,IAPS/Neutral pose 1.jpg,4
166,166,166,8485.jpg,2.73,6.46,Neg,Roofing 3.jpg,4.901234568,2.435897436,Neu,-2.171234568,4.024102564,NegNeu,4.024102564,2.171234568,5,IAPS/8485.jpg,IAPS/Roofing 3.jpg,4
40,40,40,7235.jpg,4.96,2.83,Neu,Dancing 8.jpg,6.751633987,4.207920792,Pos,-1.791633987,-1.377920792,NeuPos,1.377920792,1.791633987,2,IAPS/7235.jpg,IAPS/Dancing 8.jpg,4
151,151,151,2515.jpg,6.09,3.8,Neu,3530.jpg,1.8,6.82,Neg,4.29,-3.02,NeuNeg,3.02,4.29,4,IAPS/2515.jpg,IAPS/3530.jpg,4
233,233,233,9250.jpg,2.57,6.6,Neg,Sidewalk 5.jpg,5.614379085,2.306930693,Neu,-3.044379085,4.293069307,NegNeu,4.293069307,3.044379085,6,IAPS/9250.jpg,IAPS/Sidewalk 5.jpg,4
221,221,221,9412.jpg,1.83,6.72,Neg,Office supplies 1.jpg,5.049382716,2.179487179,Neu,-3.219382716,4.540512821,NegNeu,4.540512821,3.219382716,6,IAPS/9412.jpg,IAPS/Office supplies 1.jpg,4
196,196,196,Bored face 1.jpg,4.530864198,2.833333333,Neu,Cliff diver 3.jpg,6.49382716,6,Pos,-1.962962962,-3.166666667,NeuPos,3.166666667,1.962962962,5,IAPS/Bored face 1.jpg,IAPS/Cliff diver 3.jpg,4
154,154,154,2445.jpg,5.39,3.83,Neu,6231.jpg,2.49,6.82,Neg,2.9,-2.99,NeuNeg,2.99,2.9,4,IAPS/2445.jpg,IAPS/6231.jpg,4
35,35,35,Cat 4.jpg,7.45751634,4.379537954,Pos,Dog 30.jpg,5.777777778,4.423076923,Neu,1.679738562,-0.043538969,PosNeu,0.043538969,1.679738562,1,IAPS/Cat 4.jpg,IAPS/Dog 30.jpg,4
110,110,110,2702.jpg,5.21,3.92,Neu,3180.jpg,1.92,5.77,Neg,3.29,-1.85,NeuNeg,1.85,3.29,3,IAPS/2702.jpg,IAPS/3180.jpg,4
63,63,63,1270.jpg,3.68,4.77,Neg,2026.jpg,4.82,3.4,Neu,-1.14,1.37,NegNeu,1.37,1.14,2,IAPS/1270.jpg,IAPS/2026.jpg,4
164,164,164,Cardboard 2.jpg,5.012345679,2.423076923,Neu,Tornado 4.jpg,3.261437908,6.518151815,Neg,1.750907771,-4.095074892,NeuNeg,4.095074892,1.750907771,5,IAPS/Cardboard 2.jpg,IAPS/Tornado 4.jpg,4
47,47,47,8040.jpg,6.64,5.61,Pos,Birthday 3.jpg,7.091503268,4.234323432,Pos,-0.451503268,1.375676568,PosPos,1.375676568,0.451503268,2,IAPS/8040.jpg,IAPS/Birthday 3.jpg,4
18,18,18,Monkey 3.jpg,4.49382716,4.423076923,Neu,Running away 1.jpg,5.77124183,4.419141914,Neu,-1.27741467,0.003935009,NeuNeu,0.003935009,1.27741467,1,IAPS/Monkey 3.jpg,IAPS/Running away 1.jpg,4
14,14,14,9150.jpg,4.54,5.31,Neu,Rock climbing 4.jpg,5.320987654,5.307692308,Neu,-0.780987654,0.002307692,NeuNeu,0.002307692,0.780987654,1,IAPS/9150.jpg,IAPS/Rock climbing 4.jpg,4
1,1,1,7365.jpg,5.2,4.13,Neu,Collaboration 1.jpg,6.908496732,4.128712871,Pos,-1.708496732,0.001287129,NeuPos,0.001287129,1.708496732,1,IAPS/7365.jpg,IAPS/Collaboration 1.jpg,4
203,203,203,8185.jpg,7.57,7.27,Pos,Wall 3.jpg,5.078431373,2.082508251,Neu,2.491568627,5.187491749,PosNeu,5.187491749,2.491568627,6,IAPS/8185.jpg,IAPS/Wall 3.jpg,4
159,159,159,5260.jpg,7.34,5.71,Pos,7003.jpg,5,3.07,Neu,2.34,2.64,PosNeu,2.64,2.34,4,IAPS/5260.jpg,IAPS/7003.jpg,4
70,70,70,8241.jpg,5.76,4.06,Neu,Beach 7.jpg,7.758169935,5.409240924,Pos,-1.998169935,-1.349240924,NeuPos,1.349240924,1.998169935,2,IAPS/8241.jpg,IAPS/Beach 7.jpg,4
217,217,217,1300.jpg,3.55,6.79,Neg,Office supplies 5.jpg,5.074074074,2.153846154,Neu,-1.524074074,4.636153846,NegNeu,4.636153846,1.524074074,6,IAPS/1300.jpg,IAPS/Office supplies 5.jpg,5
23,23,23,Parachuting 2.jpg,6.908496732,5.448844884,Pos,Parasailing 2.jpg,6.504950495,5.466019417,Pos,0.403546237,-0.017174533,PosPos,0.017174533,0.403546237,1,IAPS/Parachuting 2.jpg,IAPS/Parasailing 2.jpg,5
60,60,60,1900.jpg,6.65,3.46,Pos,4600.jpg,6.41,4.83,Pos,0.24,-1.37,PosPos,1.37,0.24,2,IAPS/1900.jpg,IAPS/4600.jpg,5
114,114,114,2115.jpg,3.83,4.98,Neu,2357.jpg,5.41,3.33,Neu,-1.58,1.65,NeuNeu,1.65,1.58,3,IAPS/2115.jpg,IAPS/2357.jpg,5
7,7,7,Alcohol 7.jpg,5.633663366,3.834951456,Neu,Yoga 2.jpg,3.790123457,3.833333333,Neu,1.843539909,0.001618123,NeuNeu,0.001618123,1.843539909,1,IAPS/Alcohol 7.jpg,IAPS/Yoga 2.jpg,5
226,226,226,9252.jpg,1.98,6.64,Neg,Sidewalk 6.jpg,3.444444444,2.227722772,Neg,-1.464444444,4.412277228,NegNeg,4.412277228,1.464444444,6,IAPS/9252.jpg,IAPS/Sidewalk 6.jpg,5
209,209,209,Explosion 5.jpg,2.098039216,6.940594059,Neg,Paperclips 3.jpg,5.065359477,2.122112211,Neu,-2.967320261,4.818481848,NegNeu,4.818481848,2.967320261,6,IAPS/Explosion 5.jpg,IAPS/Paperclips 3.jpg,5
2,2,2,8620.jpg,6.04,4.6,Neu,Scared face 5.jpg,3.706270627,4.598705502,Neg,2.333729373,0.001294498,NeuNeg,0.001294498,2.333729373,1,IAPS/8620.jpg,IAPS/Scared face 5.jpg,5
230,230,230,2620.jpg,5.93,2.72,Neu,6550.jpg,2.73,7.09,Neg,3.2,-4.37,NeuNeg,4.37,3.2,6,IAPS/2620.jpg,IAPS/6550.jpg,5
13,13,13,4572.jpg,6.15,4.8,Neu,Dessert 6.jpg,7.117647059,4.801980198,Pos,-0.967647059,-0.001980198,NeuPos,0.001980198,0.967647059,1,IAPS/4572.jpg,IAPS/Dessert 6.jpg,5
185,185,185,5626.jpg,6.71,6.1,Pos,7040.jpg,4.69,2.69,Neu,2.02,3.41,PosNeu,3.41,2.02,5,IAPS/5626.jpg,IAPS/7040.jpg,5
81,81,81,1710.jpg,8.34,5.41,Pos,Keys 1.jpg,5.03960396,2.825242718,Neu,3.30039604,2.584757282,PosNeu,2.584757282,3.30039604,3,IAPS/1710.jpg,IAPS/Keys 1.jpg,5
75,75,75,9530.jpg,2.93,5.2,Neg,Money 1.jpg,6.280528053,4.572815534,Pos,-3.350528053,0.627184466,NegPos,0.627184466,3.350528053,2,IAPS/9530.jpg,IAPS/Money 1.jpg,5
173,173,173,Dirt 1.jpg,1.810457516,6.306930693,Neg,Fence 1.jpg,4.643564356,2.540453074,Neu,-2.83310684,3.766477619,NegNeu,3.766477619,2.83310684,5,IAPS/Dirt 1.jpg,IAPS/Fence 1.jpg,5
142,142,142,3550.1.jpg,2.35,6.29,Neg,7300.jpg,5.64,3.25,Neu,-3.29,3.04,NegNeu,3.04,3.29,4,IAPS/3550.1.jpg,IAPS/7300.jpg,5
190,190,190,8499.jpg,7.63,6.07,Pos,Snow 3.jpg,5.75308642,2.782051282,Neu,1.87691358,3.287948718,PosNeu,3.287948718,1.87691358,5,IAPS/8499.jpg,IAPS/Snow 3.jpg,5
49,49,49,9405.jpg,1.83,6.08,Neg,Garbage dump 2.jpg,1.802469136,4.705128205,Neg,0.027530864,1.374871795,NegNeg,1.374871795,0.027530864,2,IAPS/9405.jpg,IAPS/Garbage dump 2.jpg,5
97,97,97,Injury 1.jpg,2.294117647,5.712871287,Neg,Sleepy pose 2.jpg,4.516339869,3.138613861,Neu,-2.222222222,2.574257426,NegNeu,2.574257426,2.222222222,3,IAPS/Injury 1.jpg,IAPS/Sleepy pose 2.jpg,5
15,15,15,9426.jpg,3.08,5.28,Neg,Fire 4.jpg,5.431372549,5.277227723,Neu,-2.351372549,0.002772277,NegNeu,0.002772277,2.351372549,1,IAPS/9426.jpg,IAPS/Fire 4.jpg,5
109,109,109,Barbeque 1.jpg,5.954248366,3.772277228,Neu,Fire 3.jpg,2.407407407,5.692307692,Neg,3.546840959,-1.920030464,NeuNeg,1.920030464,3.546840959,3,IAPS/Barbeque 1.jpg,IAPS/Fire 3.jpg,5
161,161,161,Dirt 5.jpg,4.392739274,2.32038835,Neu,Rollercoaster 2.jpg,6.830065359,6.491749175,Pos,-2.437326085,-4.171360825,NeuPos,4.171360825,2.437326085,5,IAPS/Dirt 5.jpg,IAPS/Rollercoaster 2.jpg,5
130,130,130,8260.jpg,6.18,5.85,Neu,Sleepy pose 3.jpg,4.607843137,2.808580858,Neu,1.572156863,3.041419142,NeuNeu,3.041419142,1.572156863,4,IAPS/8260.jpg,IAPS/Sleepy pose 3.jpg,5
169,169,169,8206.jpg,6.43,6.41,Pos,Rocks 2.jpg,5.409240924,2.475728155,Neu,1.020759076,3.934271845,PosNeu,3.934271845,1.020759076,5,IAPS/8206.jpg,IAPS/Rocks 2.jpg,5
234,234,234,8180.jpg,7.12,6.59,Pos,Cardboard 1.jpg,5.024691358,2.307692308,Neu,2.095308642,4.282307692,PosNeu,4.282307692,2.095308642,6,IAPS/8180.jpg,IAPS/Cardboard 1.jpg,5
150,150,150,Bored pose 3.jpg,3.784313725,3.283828383,Neu,KKK rally 2.jpg,1.339869281,6.306930693,Neg,2.444444444,-3.02310231,NeuNeg,3.02310231,2.444444444,4,IAPS/Bored pose 3.jpg,IAPS/KKK rally 2.jpg,5
66,66,66,7530.jpg,6.71,4,Pos,Baby 4.jpg,7.561056106,5.362459547,Pos,-0.851056106,-1.362459547,PosPos,1.362459547,0.851056106,2,IAPS/7530.jpg,IAPS/Baby 4.jpg,5
148,148,148,1620.jpg,7.37,3.54,Pos,3212.jpg,2.79,6.57,Neg,4.58,-3.03,PosNeg,3.03,4.58,4,IAPS/1620.jpg,IAPS/3212.jpg,5
149,149,149,5781.jpg,7.13,3.82,Pos,6563.jpg,1.77,6.85,Neg,5.36,-3.03,PosNeg,3.03,5.36,4,IAPS/5781.jpg,IAPS/6563.jpg,5
77,77,77,Alcohol 8.jpg,6.9669967,4.72815534,Pos,Car accident 2.jpg,2.296296296,5.115384615,Neg,4.670700404,-0.387229275,PosNeg,0.387229275,4.670700404,2,IAPS/Alcohol 8.jpg,IAPS/Car accident 2.jpg,5
88,88,88,2208.jpg,7.35,5.68,Pos,Billiards 1.jpg,5.692810458,3.099009901,Neu,1.657189542,2.580990099,PosNeu,2.580990099,1.657189542,3,IAPS/2208.jpg,IAPS/Billiards 1.jpg,5
5,5,5,7475.jpg,6.33,4.17,Pos,Birthday 2.jpg,6.768976898,4.171521036,Pos,-0.438976898,-0.001521036,PosPos,0.001521036,0.438976898,1,IAPS/7475.jpg,IAPS/Birthday 2.jpg,6
45,45,45,9046.jpg,3.32,4.31,Neg,Nude couple 13.jpg,7.392156863,5.686468647,Pos,-4.072156863,-1.376468647,NegPos,1.376468647,4.072156863,2,IAPS/9046.jpg,IAPS/Nude couple 13.jpg,6
214,214,214,8186.jpg,7.01,6.84,Pos,Cardboard 3.jpg,4.660130719,2.148514851,Neu,2.349869281,4.691485149,PosNeu,4.691485149,2.349869281,6,IAPS/8186.jpg,IAPS/Cardboard 3.jpg,6
95,95,95,2055.1.jpg,3.15,4.95,Neg,Cups 1.jpg,5.369636964,2.372168285,Neu,-2.219636964,2.577831715,NegNeu,2.577831715,2.219636964,3,IAPS/2055.1.jpg,IAPS/Cups 1.jpg,6
136,136,136,5551.jpg,7.31,3.26,Pos,8034.jpg,7.06,6.3,Pos,0.25,-3.04,PosPos,3.04,0.25,4,IAPS/5551.jpg,IAPS/8034.jpg,6
119,119,119,9101.jpg,3.62,4.02,Neg,Rafting 1.jpg,5.777777778,5.487179487,Neu,-2.157777778,-1.467179487,NegNeu,1.467179487,2.157777778,3,IAPS/9101.jpg,IAPS/Rafting 1.jpg,6
204,204,204,9940.jpg,1.62,7.15,Neg,Cotton swabs 3.jpg,5.169934641,2.082508251,Neu,-3.549934641,5.067491749,NegNeu,5.067491749,3.549934641,6,IAPS/9940.jpg,IAPS/Cotton swabs 3.jpg,6
199,199,199,7100.jpg,5.24,2.89,Neu,9909.jpg,2.78,5.98,Neg,2.46,-3.09,NeuNeg,3.09,2.46,5,IAPS/7100.jpg,IAPS/9909.jpg,6
86,86,86,9600.jpg,2.48,6.46,Neg,Fence 4.jpg,3.509803922,3.877887789,Neg,-1.029803922,2.582112211,NegNeg,2.582112211,1.029803922,3,IAPS/9600.jpg,IAPS/Fence 4.jpg,6
118,118,118,2211.jpg,5.19,4.05,Neu,2300.jpg,7.04,5.55,Pos,-1.85,-1.5,NeuPos,1.5,1.85,3,IAPS/2211.jpg,IAPS/2300.jpg,6
197,197,197,9902.jpg,2.33,6,Neg,Phone 1.jpg,5.679738562,2.874587459,Neu,-3.349738562,3.125412541,NegNeu,3.125412541,3.349738562,5,IAPS/9902.jpg,IAPS/Phone 1.jpg,6
58,58,58,6250.2.jpg,6.32,5.13,Pos,House 1.jpg,5.941176471,3.759075908,Neu,0.378823529,1.370924092,PosNeu,1.370924092,0.378823529,2,IAPS/6250.2.jpg,IAPS/House 1.jpg,6
143,143,143,1019.jpg,3.95,5.77,Neu,Fire hydrant 4.jpg,5.580246914,2.730769231,Neu,-1.630246914,3.039230769,NeuNeu,3.039230769,1.630246914,4,IAPS/1019.jpg,IAPS/Fire hydrant 4.jpg,6
73,73,73,Cold 8.jpg,7.0330033,4.313915858,Pos,Nature 1.jpg,7.825082508,5.569579288,Pos,-0.792079208,-1.25566343,PosPos,1.25566343,0.792079208,2,IAPS/Cold 8.jpg,IAPS/Nature 1.jpg,6
200,200,200,8030.jpg,7.33,7.35,Pos,Wall 2.jpg,5.039215686,1.924092409,Neu,2.290784314,5.425907591,PosNeu,5.425907591,2.290784314,6,IAPS/8030.jpg,IAPS/Wall 2.jpg,6
135,135,135,1070.jpg,3.96,6.16,Neu,7017.jpg,5.18,3.12,Neu,-1.22,3.04,NeuNeu,3.04,1.22,4,IAPS/1070.jpg,IAPS/7017.jpg,6
134,134,134,1604.jpg,7.11,3.3,Pos,5972.jpg,3.85,6.34,Neu,3.26,-3.04,PosNeu,3.04,3.26,4,IAPS/1604.jpg,IAPS/5972.jpg,6
19,19,19,Animal carcass 4.jpg,4.725490196,5.264026403,Neu,Dog 20.jpg,7.534653465,5.258899676,Pos,-2.809163269,0.005126727,NeuPos,0.005126727,2.809163269,1,IAPS/Animal carcass 4.jpg,IAPS/Dog 20.jpg,6
178,178,178,1610.jpg,7.82,3.08,Pos,3110.jpg,1.79,6.7,Neg,6.03,-3.62,PosNeg,3.62,6.03,5,IAPS/1610.jpg,IAPS/3110.jpg,6
11,11,11,Graveyard 2.jpg,4.03630363,4.430420712,Neu,Nature 2.jpg,7.222222222,4.432343234,Pos,-3.185918592,-0.001922522,NeuPos,0.001922522,3.185918592,1,IAPS/Graveyard 2.jpg,IAPS/Nature 2.jpg,6
42,42,42,7240.jpg,6.02,5.51,Neu,Hangover 1.jpg,2.887788779,4.132686084,Neg,3.132211221,1.377313916,NeuNeg,1.377313916,3.132211221,2,IAPS/7240.jpg,IAPS/Hangover 1.jpg,6
210,210,210,1120.jpg,3.79,6.93,Neu,Office supplies 2.jpg,5.118811881,2.126213592,Neu,-1.328811881,4.803786408,NeuNeu,4.803786408,1.328811881,6,IAPS/1120.jpg,IAPS/Office supplies 2.jpg,6
57,57,57,9910.jpg,2.06,6.2,Neg,Plane crash 2.jpg,3.418300654,4.828382838,Neg,-1.358300654,1.371617162,NegNeg,1.371617162,1.358300654,2,IAPS/9910.jpg,IAPS/Plane crash 2.jpg,6
90,90,90,5631.jpg,7.29,3.86,Pos,6370.jpg,2.7,6.44,Neg,4.59,-2.58,PosNeg,2.58,4.59,3,IAPS/5631.jpg,IAPS/6370.jpg,6
191,191,191,Alcohol 3.jpg,5.222222222,2.794871795,Neu,Lightning 3.jpg,5.784313725,6.056105611,Neu,-0.562091503,-3.261233816,NeuNeu,3.261233816,0.562091503,5,IAPS/Alcohol 3.jpg,IAPS/Lightning 3.jpg,6
229,229,229,9810.jpg,2.09,6.62,Neg,Paper 2.jpg,5.118811881,2.242718447,Neu,-3.028811881,4.377281553,NegNeu,4.377281553,3.028811881,6,IAPS/9810.jpg,IAPS/Paper 2.jpg,6
144,144,144,9480.jpg,3.51,5.57,Neg,Keyboard 1.jpg,5.222222222,2.531353135,Neu,-1.712222222,3.038646865,NegNeu,3.038646865,1.712222222,4,IAPS/9480.jpg,IAPS/Keyboard 1.jpg,6
